Year,Units,timeseries,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,70.4
2015,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,61.5
2016,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,61.7
2017,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,60.9
2018,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,62.6
2019,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,63.2
2020,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,66.0
2021,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,69.4
2022,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,73.8
2023,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,,,,78.6
2024,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,female,|,,,85.4
2010,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,20.9
2011,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,19.2
2012,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,18.2
2013,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,18.6
2014,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,16.9
2015,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,14.3
2016,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,13.7
2017,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,13.5
2018,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,13.6
2019,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,13.3
2020,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,14.4
2021,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,15.8
2022,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,16.1
2023,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,,,,17.8
2024,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",21 to under 60 years,male,|,,,18.7
2010,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,7.8
2011,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,7.0
2012,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,6.9
2013,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,6.6
2014,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,6.4
2015,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,5.7
2016,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,5.6
2017,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,5.2
2018,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,5.4
2019,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,5.4
2020,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,5.4
2021,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,5.9
2022,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,6.4
2023,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,7.1
2024,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,,|,,,7.1
2010,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,8.2
2011,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,7.3
2012,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,7.5
2013,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,7.5
2014,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,7.3
2015,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,6.7
2016,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,6.3
2017,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,6.3
2018,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,6.2
2019,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,6.5
2020,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,6.5
2021,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,6.9
2022,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,7.7
2023,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,,,,8.4
2024,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,female,|,,,8.3
2010,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,7.2
2011,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,6.5
2012,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,6.1
2013,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,5.6
2014,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,5.3
2015,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,4.5
2016,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,4.6
2017,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,3.8
2018,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,4.4
2019,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,4.1
2020,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,4.1
2021,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,4.7
2022,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,4.8
2023,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,,,,5.4
2024,"per 100,000 inhabitants","number of victims per 100,000 of non-sexual harassment",60 years and older,male,|,,,5.6
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,10.1
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,10.1
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,10.3
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,10.2
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,10.5
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,10.1
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,10.6
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,9.7
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,11.2
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,|,,,10.9
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,11.6
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,,,,12.1
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,,|,,,12.9
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,17.8
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,17.7
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,17.9
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,17.6
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,18.1
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,17.4
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,18.2
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,16.3
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,18.9
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,|,,,18.2
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,19.3
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,,,,19.7
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,female,|,,,20.9
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,2.3
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,2.3
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,2.5
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,2.4
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,2.7
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,2.6
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,2.9
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,2.9
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,3.3
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,|,,,3.3
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,3.6
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,,,,4.1
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",,male,|,,,4.7
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,‒,,,0.0
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,|,,,0.4
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1.3
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1.2
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,,|,,,1.3
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,‒,,,0.0
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,|,,,0.6
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,,,,2.2
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,,,,2.0
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,female,|,,,1.7
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,‒,,,0.0
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,|,,,0.3
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,,,,0.5
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,,,,0.4
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",13 years and younger,male,|,,,0.9
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,42.3
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,43.2
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,42.5
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,38.8
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,35.8
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,34.8
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,35.6
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,30.4
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,35.2
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,|,,,35.7
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,41.3
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,38.9
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,,|,,,44.1
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,59.3
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,79.2
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,78.4
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,73.8
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,66.3
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,62.7
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,63.8
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,54.8
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,63.2
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,|,,,64.3
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,73.8
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,,,,68.0
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,female,|,,,77.1
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,6.2
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,9.1
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,8.5
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,5.7
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,7.5
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,9.0
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,9.4
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,7.6
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,8.9
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,|,,,8.7
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,10.8
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,,,,11.6
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",14 to under 18 years,male,|,,,13.4
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,31.1
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,30.5
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,33.3
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,32.4
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,29.7
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,35.2
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,33.4
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,28.0
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,38.3
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,|,,,35.9
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,38.5
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,38.2
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,,|,,,42.9
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,59.4
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,57.7
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,63.9
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,61.6
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,56.7
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,68.5
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,62.9
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,52.0
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,72.5
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,|,,,66.8
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,71.3
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,,,,69.9
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,female,|,,,77.5
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,4.2
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,4.6
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,4.4
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,4.9
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,5.4
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,5.2
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,6.8
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,6.3
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,7.0
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,|,,,7.4
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,8.0
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,,,,8.6
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",18 to under 21 years,male,|,,,11.0
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,12.3
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,12.2
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,12.6
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,11.9
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,13.5
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,12.8
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,13.8
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,13.0
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,15.0
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,|,,,14.6
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,15.4
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,16.3
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,,|,,,17.4
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,22.0
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,21.7
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,22.2
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,20.9
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,23.7
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,22.4
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,24.3
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,22.1
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,25.8
