Year,Value,Units,Series
2010,0.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2011,0.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2012,0.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2013,0.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2014,0.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2015,0.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2016,9.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2017,0.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2018,0.0,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2019,3.3,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2020,26.5,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure
2010,0.0,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2011,0.0,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2012,0.0,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2013,0.0,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2014,0.0,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2015,0.0,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2016,11.01,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2017,0.0,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2018,0.0,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2019,3.82,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2020,30.2,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure
2010,0.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2011,0.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2012,0.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2013,0.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2014,0.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2015,0.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2016,9.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2017,0.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2018,0.0,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2019,0.03,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2020,24.75,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2010,0.0,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2011,0.0,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2012,0.0,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2013,0.0,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2014,0.0,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2015,0.0,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2016,11.01,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2017,0.0,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2018,0.0,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2019,0.03,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
2020,28.21,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure
