Year,Value,Units
2010,0.48,percentage
2011,0.47,percentage
2012,0.5,percentage
2013,0.51,percentage
2014,0.57,percentage
2015,0.67,percentage
2016,1.05,percentage
2017,1.39,percentage
2018,1.55,percentage
2019,1.64,percentage
2020,1.68,percentage
2021,1.74,percentage
2010,382323.0,number
2011,373874.0,number
2012,399051.0,number
2013,410568.0,number
2014,460139.0,number
2015,547934.0,number
2016,867502.0,number
2017,1154363.0,number
2018,1283223.0,number
2019,1360069.0,number
2020,1397686.0,number
2021,1451375.0,number
