Year,Value,Series
2017,28.0,animal genetic resources (number)
2018,28.0,animal genetic resources (number)
2010,,plant genetic resources (number)
2011,,plant genetic resources (number)
2012,,plant genetic resources (number)
2013,,plant genetic resources (number)
2014,174266.0,plant genetic resources (number)
2015,,plant genetic resources (number)
2016,174405.0,plant genetic resources (number)
2017,177387.0,plant genetic resources (number)
2018,179498.0,plant genetic resources (number)
