Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2019,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2020,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2021,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2022,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2023,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2024,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2010,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2011,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2012,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2013,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2014,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2015,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2016,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2017,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2018,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
