Year,timeseries,tourism industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2011,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2012,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2013,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2014,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2015,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2016,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2017,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2018,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2019,employed persons,accommodation for visitors: hotels and similar establishments,.,,,
2020,employed persons,accommodation for visitors: hotels and similar establishments,,,,433154.0
2021,employed persons,accommodation for visitors: hotels and similar establishments,,,,458101.0
2022,employed persons,accommodation for visitors: hotels and similar establishments,,,,493938.0
2023,employed persons,accommodation for visitors: hotels and similar establishments,,,,498001.0
2010,employed persons,accommodation for visitors: other,.,,,
2011,employed persons,accommodation for visitors: other,.,,,
2012,employed persons,accommodation for visitors: other,.,,,
2013,employed persons,accommodation for visitors: other,.,,,
2014,employed persons,accommodation for visitors: other,.,,,
2015,employed persons,accommodation for visitors: other,.,,,
2016,employed persons,accommodation for visitors: other,.,,,
2017,employed persons,accommodation for visitors: other,.,,,
2018,employed persons,accommodation for visitors: other,.,,,
2019,employed persons,accommodation for visitors: other,.,,,
2020,employed persons,accommodation for visitors: other,,,,521462.0
2021,employed persons,accommodation for visitors: other,,,,691160.0
2022,employed persons,accommodation for visitors: other,,,,667494.0
2023,employed persons,accommodation for visitors: other,,,,664668.0
2010,employed persons,food and beverage serving activities,.,,,
2011,employed persons,food and beverage serving activities,.,,,
2012,employed persons,food and beverage serving activities,.,,,
2013,employed persons,food and beverage serving activities,.,,,
2014,employed persons,food and beverage serving activities,.,,,
2015,employed persons,food and beverage serving activities,.,,,
