Year,Time series,Legislation,Value
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on Biological Diversity,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena Protocol,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Plant Protection Convention,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Agreement on Sanitary and Phytosanitary Measures of the World Trade Organisation,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Organisation for Animal Health,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on International Trade in Endangered Species,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar Convention,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,Convention on the Conservation of Migratory Species of Wild Animals,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,World Heritage Convention,1.0
2010,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2011,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2012,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2013,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2014,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2015,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2016,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2017,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2018,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2019,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2020,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2021,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2022,(1) (a) National Legislation considered relevant to the prevention of introduction of invasive alien species and control,International Convention for the Control and Management of Ship's Ballast Water and Sediments,1.0
2010,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
