Year,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,.,,,
2011,,,.,,,
2012,,,.,,,
2013,,,.,,,
2014,,,.,,,
2015,,,.,,,
2016,,,.,,,
2017,,,.,,,
2018,,,.,,,
2019,,,.,,,
2020,,,.,,,
2021,,,,,,100.0
2022,,,,,,100.0
2023,,,,,,100.0
2024,,,,,,100.0
2010,17 years and younger,,.,,,
2011,17 years and younger,,.,,,
2012,17 years and younger,,.,,,
2013,17 years and younger,,.,,,
2014,17 years and younger,,.,,,
2015,17 years and younger,,.,,,
2016,17 years and younger,,.,,,
2017,17 years and younger,,.,,,
2018,17 years and younger,,.,,,
2019,17 years and younger,,.,,,
2020,17 years and younger,,.,,,
2021,17 years and younger,,,,,99.8
2022,17 years and younger,,,,,99.8
2023,17 years and younger,,,,,99.9
2024,17 years and younger,,,,,99.9
2010,18 to under 65 years,,.,,,
2011,18 to under 65 years,,.,,,
2012,18 to under 65 years,,.,,,
2013,18 to under 65 years,,.,,,
2014,18 to under 65 years,,.,,,
2015,18 to under 65 years,,.,,,
2016,18 to under 65 years,,.,,,
2017,18 to under 65 years,,.,,,
2018,18 to under 65 years,,.,,,
2019,18 to under 65 years,,.,,,
2020,18 to under 65 years,,.,,,
2021,18 to under 65 years,,,,,100.0
2022,18 to under 65 years,,,,,100.0
2023,18 to under 65 years,,,,,100.0
2024,18 to under 65 years,,,,,100.0
2010,65 years and older,,.,,,
2011,65 years and older,,.,,,
2012,65 years and older,,.,,,
2013,65 years and older,,.,,,
2014,65 years and older,,.,,,
2015,65 years and older,,.,,,
2016,65 years and older,,.,,,
2017,65 years and older,,.,,,
2018,65 years and older,,.,,,
2019,65 years and older,,.,,,
2020,65 years and older,,.,,,
2021,65 years and older,,,,,100.0
2022,65 years and older,,,,,100.0
2023,65 years and older,,,,,100.0
2024,65 years and older,,,,,100.0
2010,,Female,.,,,
2011,,Female,.,,,
2012,,Female,.,,,
2013,,Female,.,,,
2014,,Female,.,,,
2015,,Female,.,,,
2016,,Female,.,,,
2017,,Female,.,,,
2018,,Female,.,,,
2019,,Female,.,,,
2020,,Female,.,,,
2021,,Female,,,,99.7
2022,,Female,,,,99.8
2023,,Female,,,,99.9
2024,,Female,,,,99.9
2010,,Male,.,,,
2011,,Male,.,,,
2012,,Male,.,,,
2013,,Male,.,,,
2014,,Male,.,,,
2015,,Male,.,,,
2016,,Male,.,,,
2017,,Male,.,,,
2018,,Male,.,,,
2019,,Male,.,,,
2020,,Male,.,,,
2021,,Male,,,,99.8
2022,,Male,,,,99.9
2023,,Male,,,,99.9
2024,,Male,,,,99.9
